北京联通[A],#genre#
山东教育,http://221.220.130.153:9999/udp/239.3.1.52:4120
四川卫视,http://221.220.130.153:9999/udp/239.3.1.29:8288
广西卫视,http://221.220.130.153:9999/udp/239.3.1.39:8300
陕西卫视,http://221.220.130.153:9999/udp/239.3.1.41:8140
山西卫视,http://221.220.130.153:9999/udp/239.3.1.42:8172
内蒙古卫视,http://221.220.130.153:9999/udp/239.3.1.43:8176
青海卫视,http://221.220.130.153:9999/udp/239.3.1.44:8184
海南卫视,http://221.220.130.153:9999/udp/239.3.1.45:8304
三沙卫视,http://221.220.130.153:9999/udp/239.3.1.155:4120
云南卫视,http://221.220.130.153:9999/udp/239.3.1.26:8108
财富天下,http://221.220.130.153:9999/udp/239.3.1.53:9136
厦门卫视,http://221.220.130.153:9999/udp/239.3.1.143:4120
金鹰卡通,http://221.220.130.153:9999/udp/239.3.1.51:9252
嘉佳卡通,http://221.220.130.153:9999/udp/239.3.1.147:9268
CETV2,http://221.220.130.153:9999/udp/239.3.1.54:4120
CETV4,http://221.220.130.153:9999/udp/239.3.1.56:4120
收视指南,http://221.220.130.153:9999/udp/239.3.1.193:8012
热播剧场,http://221.220.130.153:9999/udp/239.3.1.194:9020
经典电影,http://221.220.130.153:9999/udp/239.3.1.195:9024
IPTV魅力时尚,http://221.220.130.153:9999/udp/239.3.1.196:9012
IPTV少儿动画,http://221.220.130.153:9999/udp/239.3.1.199:9000
房山电视台,http://221.220.130.153:9999/udp/239.3.1.96:8001
北京朝阳,http://221.220.130.153:9999/udp/239.3.1.163:8001
密云电视台,http://221.220.130.153:9999/udp/239.3.1.154:8001
通州电视台,http://221.220.130.153:9999/udp/239.3.1.221:8001
延庆电视台,http://221.220.130.153:9999/udp/239.3.1.187:8001
门头沟电视台,http://221.220.130.153:9999/udp/239.3.1.59:8001
快乐垂钓,http://221.220.130.153:9999/udp/239.3.1.164:8001
茶,http://221.220.130.153:9999/udp/239.3.1.165:8001
CCTV4欧洲,http://221.220.130.153:9999/udp/239.3.1.213:4220
CCTV4美洲,http://221.220.130.153:9999/udp/239.3.1.214:4220
CGTN,http://221.220.130.153:9999/udp/239.3.1.215:4220
CGTN,http://221.220.130.153:9999/udp/239.3.1.216:4220
CGTN西班牙语,http://221.220.130.153:9999/udp/239.3.1.217:4220
CGTN法语,http://221.220.130.153:9999/udp/239.3.1.218:4220
CGTN阿拉伯语,http://221.220.130.153:9999/udp/239.3.1.219:4220
CGTN俄语,http://221.220.130.153:9999/udp/239.3.1.220:4220
城市剧场,http://221.220.130.153:9999/udp/239.3.1.67:4120
军旅剧场,http://221.220.130.153:9999/udp/239.3.1.68:4120
古装剧场,http://221.220.130.153:9999/udp/239.3.1.69:4120
音乐现场,http://221.220.130.153:9999/udp/239.3.1.70:4120
世界地理,http://221.220.130.153:9999/udp/239.3.1.71:4120
美妆,http://221.220.130.153:9999/udp/239.3.1.72:4120
美人,http://221.220.130.153:9999/udp/239.3.1.73:4120
NEWTV热播精选,http://221.220.130.153:9999/udp/239.3.1.74:4120
解密,http://221.220.130.153:9999/udp/239.3.1.75:4120
军事评论,http://221.220.130.153:9999/udp/239.3.1.76:4120
国学,http://221.220.130.153:9999/udp/239.3.1.77:4120
岭南戏曲,http://221.220.130.153:9999/udp/239.3.1.78:4120
早教,http://221.220.130.153:9999/udp/239.3.1.79:4120
IPTV少儿动画,http://221.220.130.153:9999/udp/239.3.1.80:4120
好学生,http://221.220.130.153:9999/udp/239.3.1.81:4120
鉴赏,http://221.220.130.153:9999/udp/239.3.1.82:4120
墨宝,http://221.220.130.153:9999/udp/239.3.1.83:4120
光影,http://221.220.130.153:9999/udp/239.3.1.84:4120
央视台球,http://221.220.130.153:9999/udp/239.3.1.85:4120
爱生活,http://221.220.130.153:9999/udp/239.3.1.86:4120
武术世界,http://221.220.130.153:9999/udp/239.3.1.87:4120
高网,http://221.220.130.153:9999/udp/239.3.1.88:4120
足球,http://221.220.130.153:9999/udp/239.3.1.89:4120
武侠剧场,http://221.220.130.153:9999/udp/239.3.1.90:4120
喜剧影院,http://221.220.130.153:9999/udp/239.3.1.91:4120
动作影院,http://221.220.130.153:9999/udp/239.3.1.92:4120
家庭影院,http://221.220.130.153:9999/udp/239.3.1.93:4120
星影,http://221.220.130.153:9999/udp/239.3.1.94:4120
爱上4K,http://221.220.130.153:9999/udp/239.3.1.236:2000
湖南卫视,http://221.220.130.153:9999/udp/239.3.1.112:3002
广东卫视,http://221.220.130.153:9999/udp/239.3.1.203:2000
江苏卫视,http://221.220.130.153:9999/udp/239.3.1.113:3003
深圳卫视,http://221.220.130.153:9999/udp/239.3.1.202:2000
东方卫视,http://221.220.130.153:9999/udp/239.3.1.119:3006
浙江卫视,http://221.220.130.153:9999/udp/239.3.1.114:3004
山东卫视,http://221.220.130.153:9999/udp/239.3.1.144:3005
四川卫视,http://221.220.130.153:9999/udp/239.3.1.131:3001
北京卫视,http://221.220.130.153:9999/udp/239.3.1.118:8001
# 更新时间: 2026-01-25 01:10:48
